Namespace(env_name='SimpleVSS-v0', number=3, random_seed=0, gamma=0.99, batch_size=1024, lr=1e-05, exploration_noise=0.1, polyak=0.995, policy_noise=0.2, noise_clip=0.5, policy_delay=2, max_episodes=10000000000000, max_timesteps=200, save_rate=5000, restore=False, restore_env_name='', restore_num=1, restore_step_k=4731, rl_opponent=False, opponent_prefix='', policy_update_freq=1, multithread=True, device='cpu', render=0, replay='proportional_PER', replay_max_size=500000.0, env_noise=0, exp_setting='different_opponent')
===============SimpleVSS
Environment initialized
16
Number:3	Episode: 105	Step: 20k	Reward: 0.28	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.4689620733261108 
Number:3	Episode: 106	Step: 20k	Reward: -1.91	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.4302087545394897 
Number:3	Episode: 107	Step: 20k	Reward: -1.2	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 6 	Avg_Epi_Time: 1.4109053134918212 
Number:3	Episode: 108	Step: 20k	Reward: -4.77	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.378158688545227 
Number:3	Episode: 109	Step: 21k	Reward: -8.84	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4060782194137573 
Number:3	Episode: 110	Step: 21k	Reward: 0.59	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4788306951522827 
Number:3	Episode: 111	Step: 21k	Reward: -0.66	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.4642841339111328 
Number:3	Episode: 112	Step: 21k	Reward: -4.36	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.5002287864685058 
Number:3	Episode: 113	Step: 21k	Reward: 13.65	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.5231488704681397 
Number:3	Episode: 114	Step: 21k	Reward: 3.87	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.5503194808959961 
Number:3	Episode: 115	Step: 22k	Reward: 6.9	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.599173355102539 
Number:3	Episode: 116	Step: 22k	Reward: -4.25	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.6446147918701173 
Number:3	Episode: 117	Step: 22k	Reward: 0.7	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.6944370508193969 
Number:3	Episode: 118	Step: 22k	Reward: 8.69	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.7253563165664674 
Number:3	Episode: 119	Step: 22k	Reward: 2.43	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.7080850839614867 
Number:3	Episode: 120	Step: 23k	Reward: 11.16	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 4 	Avg_Epi_Time: 1.6844892024993896 
Number:3	Episode: 121	Step: 23k	Reward: 72.86	Goal: 1 	Done Type: done_goal	Epi_step: 40 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5687522411346435 
Number:3	Episode: 122	Step: 23k	Reward: -2.94	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5392391681671143 
Number:3	Episode: 123	Step: 23k	Reward: 7.47	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.539748215675354 
Number:3	Episode: 124	Step: 23k	Reward: 1.2	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5325206995010376 
Number:3	Episode: 125	Step: 24k	Reward: 8.5	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5129957437515258 
Number:3	Episode: 126	Step: 24k	Reward: -3.17	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4919832468032836 
Number:3	Episode: 127	Step: 24k	Reward: 13.95	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4690440893173218 
Number:3	Episode: 128	Step: 24k	Reward: 0.22	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4626354455947876 
Number:3	Episode: 129	Step: 24k	Reward: -0.56	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4593421697616578 
Number:3	Episode: 130	Step: 25k	Reward: 11.2	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.4016182661056518 
Number:3	Episode: 131	Step: 25k	Reward: 8.36	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5366708040237427 
Number:3	Episode: 132	Step: 25k	Reward: 3.86	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5580416202545166 
Number:3	Episode: 133	Step: 25k	Reward: -13.48	Goal: 0 	Done Type: done_time_up	Epi_step: 199 	Goal_in_100_Epi: 5 	Avg_Epi_Time: 1.5709838151931763 
